item_code,custom_swatch_image
"SH151145-2MD-PR","/assets/solua_home/images/curtain_cards/curtain-swatch-dual-preto-v2.png"
"SH151145-2MD-PT","/assets/solua_home/images/curtain_cards/curtain-swatch-dual-prata-v2.png"
"SH151145-2MD-DR","/assets/solua_home/images/curtain_cards/curtain-swatch-dual-dourado-v2.png"
"SH151169-3MD-PR","/assets/solua_home/images/curtain_cards/curtain-swatch-dual-preto-v2.png"
"SH151169-3MD-PT","/assets/solua_home/images/curtain_cards/curtain-swatch-dual-prata-v2.png"
"SH151169-3MD-DR","/assets/solua_home/images/curtain_cards/curtain-swatch-dual-dourado-v2.png"
